Upgrade_Sentiment_Theme,Total_Reviews,Average_CSAT,Pct_Of_Negative_Mentions
Theme 3: General Upgrade Complaint,460,3.7,88.3
Theme 1: Denied/No Availability,61,3.97,11.7
