Upgrade_Complaint_Theme,Total_Reviews,Average_CSAT,Pct_Of_All_Complaints
Theme 2: Loyalty/Benefits Not Recognized,391,3.64,75.0
Theme 1: No Availability,124,4.0,23.8
Theme 4: Miscellaneous,4,4.0,0.8
Theme 3: Upgrade Unsatisfactory,2,4.0,0.4
